domain,num_cluster,index_path,block_path
www.whitehouse.gov,18,dataset-popular/www.whitehouse.gov/www.whitehouse.gov/index.html,dataset-popular/www.whitehouse.gov/www.whitehouse.gov/index.blocks.html
www.irs.gov,20,dataset-popular/www.irs.gov/www.irs.gov/index.html,dataset-popular/www.irs.gov/www.irs.gov/index.blocks.html
www.house.gov,20,dataset-popular/www.house.gov/www.house.gov/index.html,dataset-popular/www.house.gov/www.house.gov/index.blocks.html
www.senate.gov,15,dataset-popular/www.senate.gov/www.senate.gov/index.html,dataset-popular/www.senate.gov/www.senate.gov/index.blocks.html
www.un.org,22,dataset-popular/www.un.org/www.un.org/en/index.html,dataset-popular/www.un.org/www.un.org/en/index.blocks.html
www.nih.gov,17,dataset-popular/www.nih.gov/www.nih.gov/index.html,dataset-popular/www.nih.gov/www.nih.gov/index.blocks.html
www.worldbank.org,23,dataset-popular/www.worldbank.org/www.worldbank.org/index.html,dataset-popular/www.worldbank.org/www.worldbank.org/index.blocks.html
www.findlaw.com,15,dataset-popular/www.findlaw.com/www.findlaw.com/index.html,dataset-popular/www.findlaw.com/www.findlaw.com/index.blocks.html
www.cpsc.gov,40,dataset-popular/www.cpsc.gov/www.cpsc.gov/index.html,dataset-popular/www.cpsc.gov/www.cpsc.gov/index.blocks.html
www.wto.org,13,dataset-popular/www.wto.org/www.wto.org/index.html,dataset-popular/www.wto.org/www.wto.org/index.blocks.html
www.fda.gov,20,dataset-popular/www.fda.gov/www.fda.gov/index.html,dataset-popular/www.fda.gov/www.fda.gov/index.blocks.html
www.who.int,13,dataset-popular/www.who.int/www.who.int/en/index.html,dataset-popular/www.who.int/www.who.int/en/index.blocks.html
www.osha.gov,15,dataset-popular/www.osha.gov/www.osha.gov/index.html,dataset-popular/www.osha.gov/www.osha.gov/index.blocks.html
www.ama-assn.org,10,dataset-popular/www.ama-assn.org/www.ama-assn.org/index.html,dataset-popular/www.ama-assn.org/www.ama-assn.org/index.blocks.html
www.medicare.gov,15,dataset-popular/www.medicare.gov/www.medicare.gov/index.html,dataset-popular/www.medicare.gov/www.medicare.gov/index.blocks.html
www.spiegel.de,40,dataset-popular/www.spiegel.de/www.spiegel.de/international/index.html,dataset-popular/www.spiegel.de/www.spiegel.de/international/index.blocks.html
www.euronews.com,30,dataset-popular/www.euronews.com/www.euronews.com/index.html,dataset-popular/www.euronews.com/www.euronews.com/index.blocks.html
www.foxnews.com,25,dataset-popular/www.foxnews.com/www.foxnews.com/index.html,dataset-popular/www.foxnews.com/www.foxnews.com/index.blocks.html
www.mcclatchydc.com,20,dataset-popular/www.mcclatchydc.com/www.mcclatchydc.com/index.html,dataset-popular/www.mcclatchydc.com/www.mcclatchydc.com/index.blocks.html
www.nbcnews.com,20,dataset-popular/www.nbcnews.com/www.nbcnews.com/index.html,dataset-popular/www.nbcnews.com/www.nbcnews.com/index.blocks.html
www.fifa.com,20,dataset-popular/www.fifa.com/www.fifa.com/index.html,dataset-popular/www.fifa.com/www.fifa.com/index.blocks.html
www.tripadvisor.com,8,dataset-popular/www.tripadvisor.com/www.tripadvisor.com/index.html,dataset-popular/www.tripadvisor.com/www.tripadvisor.com/index.blocks.html
www.lonelyplanet.com,15,dataset-popular/www.lonelyplanet.com/www.lonelyplanet.com/index.html,dataset-popular/www.lonelyplanet.com/www.lonelyplanet.com/index.blocks.html
www.kbb.com,15,dataset-popular/www.kbb.com/www.kbb.com/index.html,dataset-popular/www.kbb.com/www.kbb.com/index.blocks.html
www.geocaching.com,10,dataset-popular/www.geocaching.com/www.geocaching.com/index.html,dataset-popular/www.geocaching.com/www.geocaching.com/index.blocks.html
www.fodors.com,15,dataset-popular/www.fodors.com/www.fodors.com/index.html,dataset-popular/www.fodors.com/www.fodors.com/index.blocks.html
www.uefa.com,30,dataset-popular/www.uefa.com/www.uefa.com/index.html,dataset-popular/www.uefa.com/www.uefa.com/index.blocks.html
www.ford.com,7,dataset-popular/www.ford.com/www.ford.com/index.html,dataset-popular/www.ford.com/www.ford.com/index.blocks.html
www.google.com,5,dataset-popular/www.google.com/www.google.com/earth/index.html,dataset-popular/www.google.com/www.google.com/earth/index.blocks.html
www.weather.gov,25,dataset-popular/www.weather.gov/www.weather.gov/index.html,dataset-popular/www.weather.gov/www.weather.gov/index.blocks.html
www.noaa.gov,12,dataset-popular/www.noaa.gov/www.noaa.gov/index.html,dataset-popular/www.noaa.gov/www.noaa.gov/index.blocks.html
www.nature.com,16,dataset-popular/www.nature.com/www.nature.com/index.html,dataset-popular/www.nature.com/www.nature.com/index.blocks.html
www.amnesty.org,15,dataset-popular/www.amnesty.org/www.amnesty.org/index.html,dataset-popular/www.amnesty.org/www.amnesty.org/index.blocks.html
www.freetranslation.com,15,dataset-popular/www.freetranslation.com/www.freetranslation.com/index.html,dataset-popular/www.freetranslation.com/www.freetranslation.com/index.blocks.html
www.heritage.org,25,dataset-popular/www.heritage.org/www.heritage.org/index.html,dataset-popular/www.heritage.org/www.heritage.org/index.blocks.html
www.cato.org,18,dataset-popular/www.cato.org/www.cato.org/index.html,dataset-popular/www.cato.org/www.cato.org/index.blocks.html
www.toastmasters.org,10,dataset-popular/www.toastmasters.org/www.toastmasters.org/index.html,dataset-popular/www.toastmasters.org/www.toastmasters.org/index.blocks.html
www.factcheck.org,8,dataset-popular/www.factcheck.org/www.factcheck.org/index.html,dataset-popular/www.factcheck.org/www.factcheck.org/index.blocks.html
www.webstandards.org,12,dataset-popular/www.webstandards.org/www.webstandards.org/index.html,dataset-popular/www.webstandards.org/www.webstandards.org/index.blocks.html
www.alistapart.com,5,dataset-popular/www.alistapart.com/www.alistapart.com/index.html,dataset-popular/www.alistapart.com/www.alistapart.com/index.blocks.html
www.postsecret.com,5,dataset-popular/www.postsecret.com/www.postsecret.com/index.html,dataset-popular/www.postsecret.com/www.postsecret.com/index.blocks.html
www.reuters.com,15,dataset-popular/www.reuters.com/www.reuters.com/index.html,dataset-popular/www.reuters.com/www.reuters.com/index.blocks.html
www.economist.com,20,dataset-popular/www.economist.com/www.economist.com/index.html,dataset-popular/www.economist.com/www.economist.com/index.blocks.html
www.adobe.com,13,dataset-popular/www.adobe.com/www.adobe.com/index.html,dataset-popular/www.adobe.com/www.adobe.com/index.blocks.html
www.openoffice.org,10,dataset-popular/www.openoffice.org/www.openoffice.org/index.html,dataset-popular/www.openoffice.org/www.openoffice.org/index.blocks.html
www.w3.org,18,dataset-popular/www.w3.org/www.w3.org/index.html,dataset-popular/www.w3.org/www.w3.org/index.blocks.html
eu.real.com,10,dataset-popular/eu.real.com/eu.real.com/index.html,dataset-popular/eu.real.com/eu.real.com/index.blocks.html
www.gnu.org,10,dataset-popular/www.gnu.org/www.gnu.org/index.html,dataset-popular/www.gnu.org/www.gnu.org/index.blocks.html
www.wired.com,20,dataset-popular/www.wired.com/www.wired.com/index.html,dataset-popular/www.wired.com/www.wired.com/index.blocks.html
www.pandora.com,5,dataset-popular/www.pandora.com/www.pandora.com/index.html,dataset-popular/www.pandora.com/www.pandora.com/index.blocks.html
www.break.com,20,dataset-popular/www.break.com/www.break.com/index.html,dataset-popular/www.break.com/www.break.com/index.blocks.html
www.edmunds.com,25,dataset-popular/www.edmunds.com/www.edmunds.com/index.html,dataset-popular/www.edmunds.com/www.edmunds.com/index.blocks.html
www.scientificamerican.com,25,dataset-popular/www.scientificamerican.com/www.scientificamerican.com/index.html,dataset-popular/www.scientificamerican.com/www.scientificamerican.com/index.blocks.html
www.treehugger.com,15,dataset-popular/www.treehugger.com/www.treehugger.com/index.html,dataset-popular/www.treehugger.com/www.treehugger.com/index.blocks.html
www.rhymezone.com,15,dataset-popular/www.rhymezone.com/www.rhymezone.com/index.html,dataset-popular/www.rhymezone.com/www.rhymezone.com/index.blocks.html
www.nlm.nih.gov,10,dataset-popular/www.nlm.nih.gov/www.nlm.nih.gov/index.html,dataset-popular/www.nlm.nih.gov/www.nlm.nih.gov/index.blocks.html
www.healthfinder.gov,10,dataset-popular/www.healthfinder.gov/www.healthfinder.gov/index.html,dataset-popular/www.healthfinder.gov/www.healthfinder.gov/index.blocks.html
www.mayoclinic.com,12,dataset-popular/www.mayoclinic.com/www.mayoclinic.com/index.html,dataset-popular/www.mayoclinic.com/www.mayoclinic.com/index.blocks.html
www.drugs.com,30,dataset-popular/www.drugs.com/www.drugs.com/index.html,dataset-popular/www.drugs.com/www.drugs.com/index.blocks.html
www.voanews.com,40,dataset-popular/www.voanews.com/www.voanews.com/index.html,dataset-popular/www.voanews.com/www.voanews.com/index.blocks.html
